StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q62,Q73,1,2,Q54,Q52,Q67,Q53,Q69,Q51,3,Q4,Q5,Q6,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q8,Q10,Q7,Q9,Q63,Q37,Q71,Q41,Q12,Q11,Q13,Q14,Q15,Q16,Q63.1,Q17,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q65_10,Q65_11,Q65_12,Q65_13,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q20_1,Q20_2,Q20_3,Q20_4,Q68,Q68_1,Q68_2,Q68_3,Q68_4,Q69.1,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q79_7,Q79_8,Q79_9,Q79_10,Q79_11,Q79_12,Q79_13,Q26,Q27,Q32#1_1,Q32#1_2,Q32#2_1,Q32#2_2,Q28#1_1,Q28#1_2,Q28#2_1,Q28#2_2,Q34#1_1,Q34#1_2,Q34#2_1,Q34#2_2,Q35_1,Q35_2,Q35_4,Q35_3,Q35_5,Q35_19,Q35_6,Q35_7,Q35_8,Q35_9,Q35_18,Q35_10,Q35_12,Q35_17,Q35_13,Q35_11,Q35_16,Q36#1_1_1,Q36#1_1_2,Q36#1_1_3,Q36#1_2_1,Q36#1_2_2,Q36#1_2_3,Q36#1_3_1,Q36#1_3_2,Q36#1_3_3,Q36#2_1,Q36#2_2,Q36#2_3,Q50#1_1,Q50#1_2,Q50#1_3,Q50#1_4,Q50#1_5,Q50#1_6,Q50#1_7,Q50#1_8,Q50#1_9,Q50#1_10,Q50#1_11,Q50#1_12,Q50#1_13,Q50#1_14,Q50#2_1,Q50#2_2,Q50#2_3,Q50#2_4,Q50#2_5,Q50#2_6,Q50#2_7,Q50#2_8,Q50#2_9,Q50#2_10,Q50#2_11,Q50#2_12,Q50#2_13,Q50#2_14,Q50#3_1,Q50#3_2,Q50#3_3,Q50#3_4,Q50#3_5,Q50#3_6,Q50#3_7,Q50#3_8,Q50#3_9,Q50#3_10,Q50#3_11,Q50#3_12,Q50#3_13,Q50#3_14,Q77_1,Q77_2,Q77_3,Q77_4,Q58#1_1,Q58#1_2,Q58#1_3,Q58#1_4,Q58#1_5,Q58#1_6,Q58#1_7,Q58#2_1,Q58#2_2,Q58#2_3,Q58#2_4,Q58#2_5,Q58#2_6,Q58#2_7,Q60
2019-07-08 09:13:00,7/8/2019 9:32,0,100,1142,1,7/8/2019 9:32,,,,,anonymous,EN,1,4,2,1,4,4,8,9,3,22.0,1,2,13,1,2,3,1,1,1,5,3,22,2,1,13,32,3,5,2,1,1,1,5,1,1,4,5,1,2,1,1,1,4,1,7,1,1,1,4,7,1,7,1,1,4,2,2,2,2,3,3,4,3,3,1,1,4,6,2,7,7,7,7,2,6,1,7,4,1,1,6,1,3,14,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,7,,,,,,,1,1,1,1,,,,,5,2,1,8,8,8,,,,10,,,,10,,1,10,3,1,cousin,1,3,cousin,1,3,cousin,5,5,5,5,2,5,5,1,5,5,1,5,5,5,1,5,5,5,1,5,5,1,5,5,1,5,5,5,2,5,5,,,,,,,,,,,,,,,6,6,7,6,,,,,,1,,,,,,,1,,1
2019-07-08 09:19:00,7/8/2019 9:33,0,100,838,1,7/8/2019 9:33,,,,,anonymous,EN,1,4,2,1,1,2,6,4,4,25.0,3,3,22,"2,4",3,3,1,2,2,4,4,29,2,1,22,36,5,,1,5,5,5,1,4,5,5,2,7,7,7,7,6,7,7,3,7,5,6,7,2,7,7,7,6,2,1,1,1,4,1,1,1,2,2,1,2,2,3,2,5,3,5,5,7,2,2,2,1,7,2,2,2,1,14,1,3,1,3,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,3,1,1,7,7,,,,,,,1,1,1,1,,,,,7,9,8,8,8,,,5,,6,3,,,10,7,,,1,4,3,4,1,2,1,2,4,5,5,5,5,1,5,5,1,5,5,1,5,5,5,1,5,5,5,1,5,5,1,5,5,1,5,5,5,1,5,5,,,,,,,,,,,,,,,7,7,7,7,,1,,,,,,,,,,,1,,1
2019-07-08 09:20:00,7/8/2019 9:36,0,100,981,1,7/8/2019 9:36,,,,,anonymous,EN,1,,2,1,1,2,6,9,4,23.0,2,1,26,1,3,4,3,4,1,4,4,23,2,1,26,29,4,4,2,3,3,4,2,2,4,4,3,6,6,5,6,6,7,6,5,2,6,5,4,1,5,6,6,3,2,3,1,1,1,1,2,3,3,2,4,1,2,1,5,2,5,2,2,6,2,2,7,4,7,2,5,2,3,14,2,2,1,2,1,5,1,1,1,1,2,2,1,7,7,7,3,7,2,2,7,7,7,7,3,3,,,,,,,1,1,1,1,,,,,4,,,,,3,,6,,8,6,3,9,,,,,3,4,1,3,1,4,3,4,1,4,4,4,4,2,4,2,2,2,3,4,3,1,3,5,2,2,4,4,4,2,2,2,3,4,3,4,3,5,4,4,,,,,,,,,,,,,,,2,5,5,2,,,,,,1,,,1,,,,,,1
2019-07-08 09:21:00,7/8/2019 9:37,0,100,970,1,7/8/2019 9:37,,,,,anonymous,EN,1,,2,7,1,2,6,3,5,24.0,1,2,22,2,4,3,3,3,1,4,4,24,2,3,22,,5,5,1,4,5,5,1,4,4,5,2,7,5,7,7,7,7,7,4,6,7,7,7,1,6,6,7,6,1,1,1,1,1,1,1,2,2,2,1,1,2,3,5,1,6,2,4,7,1,1,4,1,7,1,5,4,1,14,2,5,1,1,1,1,1,1,1,1,3,1,5,2,3,6,4,1,4,2,3,4,3,3,6,6,,,,,,,1,1,1,1,,,,,5,,4,5,7,9,,5,,,3,6,,7,8,5,,1,4,2,1,2,3,2,1,3,4,5,5,5,3,5,4,1,5,5,3,5,4,5,1,5,5,5,2,4,4,1,4,5,1,5,5,5,2,5,5,,,,,,,,,,,,,,,6,7,7,7,,,,,,1,,,,,,,1,,1
2019-07-08 09:11:00,7/8/2019 9:38,0,100,1602,1,7/8/2019 9:38,,,,,anonymous,EN,1,1,2,6,4,2,6,7,5,28.0,2,Nil,84,5,1,1,1,1,1,1,1,28,2,4,84,96,5,5,1,4,5,5,1,5,5,5,2,7,7,7,7,7,7,7,1,1,7,7,7,1,7,7,7,7,1,1,1,1,1,1,1,2,2,2,1,1,2,2,7,2,6,1,1,6,1,1,4,1,6,1,1,4,1,14,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,6,1,2,2,2,7,7,,,,,,,1,1,1,1,,,,,,10,0,3,0,10,,6,,3,,1,6,,3,,,1,4,7,4,2,7,1,2,4,5,5,5,5,1,5,5,1,5,5,1,5,5,5,1,5,5,5,1,5,5,1,5,5,1,5,5,5,1,5,5,5,,,,,,,,,,,,,,7,7,7,7,,,,,,1,1,,,,,,1,,1
2019-07-08 09:23:00,7/8/2019 9:42,0,100,1180,1,7/8/2019 9:42,,,,,anonymous,EN,1,4,2,3,2,2,6,4,3,23.0,1,1,24,2,3,1,3,3,3,3,3,23,1,3,24,0,3,4,1,3,4,4,2,3,5,5,3,6,5,5,6,6,6,7,4,6,6,6,6,2,6,6,6,6,1,1,1,4,1,1,1,2,3,3,1,1,2,2,5,3,5,3,2,5,3,2,6,4,5,2,5,4,3,9,2,2,3,2,2,2,3,3,1,1,2,2,3,5,6,6,7,1,2,6,6,7,7,7,4,1,15,,2,3,2,3,2,2,2,2,2,3,2,3,7,4,2,6,2,7,7,8,9,1,2,0,5,9,4,1,1,3,1,2,3,1,2,1,3,2,5,5,5,3,3,3,3,2,3,3,5,3,2,3,2,2,3,5,2,4,4,2,3,5,2,5,4,4,2,4,4,,,,,,,,,,,,,,,4,6,6,6,,,,1,,,,1,,,,,,,1
2019-07-08 09:25:00,7/8/2019 9:42,0,100,1052,1,7/8/2019 9:42,,,,,anonymous,EN,1,,2,4,1,2,6,3,5,25.0,4,2,42,2,2,2,1,2,3,4,4,28,2,1,9,12,4,4,1,4,5,5,1,5,5,5,1,7,7,7,7,7,7,6,2,7,6,6,7,2,6,6,6,6,1,1,1,1,1,1,1,2,2,2,1,1,2,2,6,4,6,2,2,6,5,1,5,1,6,1,1,5,1,14,3,2,5,3,5,1,3,3,1,3,5,2,2,4,3,5,2,1,2,5,2,3,3,5,4,6,,,,,,,1,1,,1,2,2,2,2,5,7,3,3,4,6,,7,,8,,5,8,6,8,3,9,4,1,3,1,2,4,4,1,3,5,4,4,4,4,3,2,4,2,4,4,3,4,2,5,2,5,5,3,4,5,2,3,4,2,5,3,5,2,5,5,,,,,,,,,,,,,,,6,5,6,6,,,,,,1,,,,,,,,1,1
2019-07-08 09:25:00,7/8/2019 9:44,0,100,1085,1,7/8/2019 9:44,,,,,anonymous,EN,1,5,2,1,"1,5",2,6,4,4,23.0,2,1,20,1,4,2,2,3,4,3,3,25,2,1,20,8,5,3,3,1,2,2,1,2,2,4,5,1,2,3,2,1,1,1,6,2,2,2,2,2,2,6,5,6,4,3,2,2,4,3,4,4,4,2,1,3,2,7,1,7,1,7,6,5,5,1,1,1,7,2,2,6,1,14,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,9,9,,,,,,,1,1,1,1,,,,,6,9,5,,10,7,,10,,10,,3,,2,6,4,,1,4,2,1,7,4,1,2,7,5,5,5,5,1,5,5,1,5,5,4,5,5,5,1,3,4,5,1,5,5,1,5,5,4,5,5,5,1,5,4,,,,,,,,,,,,,,,4,6,6,6,,,,,,1,,,,,,,,1,1
2019-07-08 09:16:00,7/8/2019 9:45,0,100,1767,1,7/8/2019 9:45,,,,,anonymous,EN,1,3,2,1,1,2,6,7,4,22.0,1,12,6,2,1,2,3,1,2,5,5,24,2,2,6,,1,1,1,5,4,5,1,5,4,4,1,7,6,7,5,7,5,6,3,7,6,7,3,1,7,7,7,6,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,7,2,3,6,1,6,2,5,5,4,14,1,1,1,2,1,1,1,2,5,5,5,5,2,2,5,5,1,1,1,4,1,1,1,1,6,3,,,,,,,1,1,1,1,,,,,6,2,2,8,8,10,2,2,2,8,5,10,9,5,2,1,1,1,2,3,1,2,3,1,2,3,5,5,5,5,,4,5,2,5,5,3,5,3,4,1,1,5,5,,1,5,3,4,5,3,5,3,4,2,4,5,,,,,,,,,,,,,,,6,6,7,6,,,,1,,,,,,,,,,1,1
2019-07-08 09:16:00,7/8/2019 9:51,0,100,2082,1,7/8/2019 9:51,,,,,anonymous,EN,1,1,2,1,4,2,6,4,5,23.0,2,5,6,1,2,2,1,1,3,5,4,23,2,3,6,30,1,2,2,3,3,4,1,3,3,3,3,5,5,5,6,7,7,4,4,4,4,5,4,4,4,4,5,4,2,2,2,2,2,2,2,2,4,4,3,2,2,1,5,2,5,5,4,6,3,1,3,1,4,2,5,2,3,12,1,3,5,1,1,3,1,3,3,2,1,2,2,4,2,2,1,1,4,1,1,7,7,7,3,1,13,14,1,2,1,2,1,2,1,2,1,2,1,2,3,0,0,,,1,0,,,0,,,,2,,2,1,Myself,3,1,Myself,1,2,3,7,1,5,5,4,4,3,4,3,1,4,5,1,4,5,5,1,5,5,5,3,4,3,1,4,5,2,5,5,5,1,5,5,,,,,,,,,,,,,,,6,6,6,6,,,,,,1,,,,,,,1,,1
2019-07-08 09:39:00,7/8/2019 9:51,0,100,726,1,7/8/2019 9:51,,,,,anonymous,EN,1,4,1,4,"1,2",2,6,4,4,24.0,1,6,38,1,2,2,1,1,1,1,1,20,1,4,38,1,2,3,2,2,2,4,4,3,5,5,3,2,7,6,3,5,6,7,7,7,7,7,7,6,6,4,4,7,3,2,2,3,2,3,3,2,2,2,1,2,2,5,2,5,4,5,3,7,2,1,7,4,7,1,1,4,1,14,5,1,1,2,1,1,5,1,1,1,5,2,2,4,5,7,1,1,5,1,6,6,2,6,7,4,,,,,,,1,1,1,1,,,,,3,2,1,5,,,,,,6,,7,,,6,,,3,4,7,1,7,6,1,3,7,1,3,1,5,3,4,2,2,3,4,5,5,5,4,1,5,5,5,3,4,5,2,3,5,2,5,5,5,4,5,5,,,,,,,,,,,,,,,5,5,7,6,,,,,,1,1,,,,,,,1,1
2019-07-08 09:20:00,7/8/2019 9:55,0,100,2139,1,7/8/2019 9:56,,,,,anonymous,EN,1,3,2,1,1,2,6,3,4,23.0,3,1,39,"2,4",3,3,2,3,1,4,4,23,2,1,39,48,5,5,1,5,5,5,2,4,5,5,2,7,6,6,7,7,7,6,4,6,6,7,7,1,7,7,7,5,1,1,1,1,1,1,1,2,2,2,1,1,2,2,6,2,6,2,2,7,2,2,2,1,6,2,5,5,1,14,1,1,1,1,,1,1,2,1,2,1,1,1,1,3,2,2,1,2,2,1,2,2,1,7,7,,,,,,,1,1,1,1,,,,,5,4,4,6,6,8,,5,,0,3,4,3,9,7,6,10,4,1,3,4,1,3,1,3,4,5,5,5,5,3,5,4,1,3,5,1,5,5,5,3,4,5,5,4,5,4,1,4,5,1,5,5,5,3,5,5,,,,,,,,,,,,,,,7,7,7,7,,,,,,,1,,,,,,1,,1
2019-07-08 09:46:00,7/8/2019 10:00,0,100,856,1,7/8/2019 10:00,,,,,anonymous,EN,1,2,2,1,1,2,8,4,4,25.0,2,5,72,"2,4",3,1,2,3,3,3,1,27,2,1,72,84,5,5,1,4,4,5,1,4,5,5,3,5,7,6,7,6,7,7,2,6,5,5,7,1,7,7,7,6,1,1,1,3,3,1,1,3,3,2,1,1,2,2,7,2,6,2,2,6,2,5,4,1,6,5,2,5,1,14,1,2,1,2,1,1,1,1,1,1,2,1,1,1,6,7,5,5,4,5,5,6,6,3,3,5,,,,,,,1,3,1,1,1,3,1,3,3,3,3,9,,6,,6,,9,6,4,4,6,9,5,8,1,4,7,4,1,7,4,3,7,5,5,4,5,1,5,3,1,3,5,1,4,4,5,5,4,3,5,1,5,3,1,3,5,1,3,4,5,5,3,4,,,,,,,,,,,,,,,5,6,5,6,,,,,,1,,,,,,1,,,1
2019-07-08 09:43:00,7/8/2019 10:01,0,100,1058,1,7/8/2019 10:01,,,,,anonymous,EN,1,7,1,1,1,2,8,4,2,23.0,1,1,53,"2,4",4,2,1,3,3,5,5,24,2,1,53,62,5,5,2,5,5,5,1,4,5,5,3,7,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,1,1,1,1,1,4,1,2,2,2,1,1,2,3,7,1,7,1,1,7,1,2,6,4,7,1,1,5,1,12,2,2,2,2,2,1,2,1,1,1,2,2,3,7,7,7,7,2,1,6,7,6,5,7,3,1,7,8,3,2,3,1,3,2,4,1,3,1,3,1,6,4,0,7,,7,2,7,2,,,2,8,,1,,6,4,2,5,4,2,11-father's partner,4,2,11-father's partner,5,5,5,5,3,4,4,2,4,4,1,5,3,5,3,4,4,1,1,1,1,5,1,1,4,1,1,1,5,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,1,,,,,,1
